category,min,max,mean,stddev,sum,count
714,233.0,379.0,292.846153846,40.0329992087,3807.0,13
320,189.0,458.0,318.454545455,85.3338896762,3503.0,11
146,213.0,512.0,377.9,94.4780397764,3779.0,10
147,239.0,411.0,310.444444444,67.9229547191,2794.0,9
144,218.0,697.0,402.8,140.441209527,4028.0,10
145,190.0,546.0,368.1,122.686094476,3681.0,10
142,268.0,505.0,362.6,79.2130741173,3626.0,10
143,164.0,758.0,351.75,154.353858508,4221.0,12
912,194.0,343.0,290.5,45.7095573853,3486.0,12
141,210.0,585.0,378.4,108.208851558,3784.0,10
612,193.0,384.0,285.333333333,67.7231440678,3424.0,12
613,267.0,586.0,401.444444444,107.490826482,3613.0,9
610,246.0,570.0,384.4,100.542086268,3844.0,10
611,240.0,429.0,319.5,64.2309202107,3195.0,10
616,283.0,560.0,393.909090909,84.3379565148,4333.0,11
617,277.0,839.0,446.714285714,189.086148167,3127.0,7
148,169.0,482.0,344.888888889,111.358031193,3104.0,9
149,198.0,537.0,384.076923077,102.825468261,4993.0,13
77,204.0,410.0,299.181818182,73.6326261678,3291.0,11
76,202.0,414.0,321.888888889,72.4093302766,2897.0,9
75,243.0,462.0,352.888888889,87.3891361161,3176.0,9
74,223.0,560.0,416.7,98.139413308,4167.0,10
73,273.0,477.0,365.5,69.8096618592,3655.0,10
711,229.0,496.0,352.3,87.4147839009,3523.0,10
615,227.0,770.0,359.7,155.660635144,3597.0,10
710,185.0,428.0,303.5,66.9498153678,3035.0,10
79,197.0,415.0,302.272727273,68.2115692666,3325.0,11
78,247.0,392.0,342.375,45.3523900772,2739.0,8
723,272.0,388.0,307.888888889,34.9121914395,2771.0,9
326,228.0,440.0,315.444444444,71.507186896,2839.0,9
