category,min,max,mean,stddev,sum,count
1311,29.3,44.8,37.3142857143,4.9596466848,261.2,7
1310,24.9,43.6,33.7272727273,5.77980811257,371.0,11
717,0.4,2.1,1.04545454545,0.52414432433,11.5,11
716,5.4,19.3,12.7444444444,4.4991974593,114.7,9
715,3.9,10.4,6.88181818182,2.37310690101,75.7,11
325,8.9,24.1,14.2444444444,4.55771628974,128.2,9
713,14.9,34.3,24.7666666667,5.92834193474,371.5,15
712,10.8,24.4,19.0666666667,4.35603030292,171.6,9
1319,28.8,44.4,39.925,4.25742666621,479.1,12
1318,24.6,51.8,38.65,9.39742872634,386.5,10
120,10.1,18.5,13.84,2.69699421167,138.4,10
121,11.2,28.3,16.3857142857,4.7044963295,344.1,21
122,11.2,25.8,17.0222222222,3.88610731521,306.4,18
123,0.2,30.1,17.6523809524,6.17548532891,370.7,21
124,15.9,29.0,21.8166666667,3.76848385803,392.7,18
125,10.4,37.9,24.6318181818,6.1909601043,541.9,22
126,14.2,24.4,20.3210526316,3.0507884131,386.1,19
127,3.1,33.6,18.72,10.4929851254,374.4,20
128,4.6,39.7,19.1,12.2118260572,458.4,24
129,4.1,25.1,12.875,5.77298305327,206.0,16
423,2.9,13.2,7.34166666667,3.38726447241,88.1,12
54,19.6,27.1,23.9777777778,2.44631241759,215.8,9
422,6.9,25.5,14.5916666667,5.8790008943,175.1,12
59,16.5,26.5,22.15,2.81474293281,221.5,10
58,22.1,29.0,24.4888888889,1.91340301848,220.4,9
55,18.7,29.1,25.1,3.50632082307,200.8,8
425,0.3,1.4,0.775,0.464578662159,3.1,4
57,15.7,25.7,21.5,3.26014898871,172.0,8
56,18.9,35.5,26.8,4.93384810699,214.4,8
51,18.3,33.4,24.67,4.45995764803,246.7,10
53,7.9,23.8,18.8090909091,4.28659644601,206.9,11
424,0.0,1.3,0.466666666667,0.492612085384,2.8,6
1418,33.3,46.0,39.075,4.58810574047,312.6,8
1419,32.2,41.8,36.44,4.03336088145,182.2,5
416,4.6,12.5,9.12,2.81298576052,91.2,10
417,6.1,24.9,14.78,5.62016211708,147.8,10
410,0.0,4.6,1.26666666667,1.8459414942,11.4,9
411,4.0,16.8,8.66666666667,3.89101529167,78.0,9
412,5.1,22.4,12.5833333333,6.17853076582,151.0,12
413,12.2,34.5,24.2181818182,6.19044718608,266.4,11
1410,16.7,16.7,16.7,nan,16.7,1
1411,23.4,53.5,42.25,10.0871395656,591.5,14
1412,23.5,35.8,28.5818181818,4.21777623442,314.4,11
1413,15.4,29.3,24.3416666667,3.23319665441,292.1,12
1414,25.4,43.6,32.6181818182,5.65770592764,358.8,11
1415,27.5,36.9,31.9125,2.97822454301,255.3,8
1416,40.7,55.7,47.6142857143,5.24608697711,333.3,7
1417,32.2,61.5,45.7125,8.34838521597,365.7,8
